Cod	Secc	Curso	Tipo	Horario	Aula	Docente
CF4F2	A	FISICA ATOMICA Y MOLECULAR	TEORIA	JU 16-18	R3-123B	BELTRÁN RAMÍREZ, JHOSEP VICTORINO
CF4F2	A	FISICA ATOMICA Y MOLECULAR	PRACTICA	VI 14-17	J3-152	ZEGARRA BORRERO, ANTONIO FEDERICO
CF4F3	A	MECANICA CUANTICA II	TEORIA	MI 10-12	R1-450	CASTILLO RUIZ, OSCAR EDUARDO
CF4F3	A	MECANICA CUANTICA II	TEORIA	VI 10-12	R1-460	CASTILLO RUIZ, OSCAR EDUARDO
CF4F3	A	MECANICA CUANTICA II	PRACTICA	VI 14-18	J3-162B	BELTRÁN RAMÍREZ, JHOSEP VICTORINO
CF5D1	A	PROYECTO DE TESIS II	PRACTICA	DO 10-12	R9-261	RUEDA RÁEZ, LUIS DANIEL
CF5D1	A	PROYECTO DE TESIS II	PRACTICA	DO 10-12	R9-261	PUJADA BERMUDEZ, BRAULIO RAFAEL
CF5D1	A	PROYECTO DE TESIS II	PRACTICA	DO 10-12	R9-261	LEÓN HILARIO, LUDWIN MISAEL
CF5D1	A	PROYECTO DE TESIS II	PRACTICA	DO 10-12	R9-261	VIDALÓN VIDALÓN, EDGARD
CF5D1	A	PROYECTO DE TESIS II	PRACTICA	DO 10-12	R9-261	PEREYRA RAVINEZ, ORLANDO LUIS
CF5F1	A	FISICA DEL ESTADO SOLIDO I	TEORIA	LU 16-18	R1-421	LEÓN HILARIO, LUDWIN MISAEL
CF5F1	A	FISICA DEL ESTADO SOLIDO I	TEORIA	MI 16-18	R1-401	LEÓN HILARIO, LUDWIN MISAEL
CF5F1	A	FISICA DEL ESTADO SOLIDO I	PRACTICA	VI 16-20	R1-411	CUSTODIO FERNANDEZ, SANTIAGO ROSSEVELT
CF5F3	A	FISICA NUCLEAR Y DE PARTICULAS	TEORIA	LU 18-20	R1-430	AMORETTI VIDAL, JESÚS ESTEBAN
CF5F3	A	FISICA NUCLEAR Y DE PARTICULAS	TEORIA	MA 18-20	R3-123B	AMORETTI VIDAL, JESÚS ESTEBAN
CF5F3	A	FISICA NUCLEAR Y DE PARTICULAS	TEORIA	JU 18-20	R3-123C	AMORETTI VIDAL, JESÚS ESTEBAN
CF5F3	A	FISICA NUCLEAR Y DE PARTICULAS	PRACTICA	MI 18-21	R3-123C	LOPEZ GONZALES, ALEJANDRO HEYNER
CF5T3	A	TALLER DE INVESTIGACION	PRACTICA	DO 16-18	R2-266	OCHOA JIMENEZ, ROSENDO
CF5T3	A	TALLER DE INVESTIGACION	PRACTICA	DO 16-18	R2-266	TELLO GALVEZ, JULIO CÉSAR
CF5T3	A	TALLER DE INVESTIGACION	PRACTICA	DO 16-18	R2-266	CASTROMONTE FLORES, CÉSAR MANUEL
CF5T3	A	TALLER DE INVESTIGACION	PRACTICA	DO 16-18	R2-266	LORO RAMIREZ, HÉCTOR RAÚL
CF5T3	A	TALLER DE INVESTIGACION	PRACTICA	DO 16-18	R2-266	RIVERA GAMBINI, GUILLERMO GERARDO
CF5T3	A	TALLER DE INVESTIGACION	PRACTICA	DO 16-18	R2-266	PUJADA BERMUDEZ, BRAULIO RAFAEL
CF5T3	A	TALLER DE INVESTIGACION	PRACTICA	DO 16-18	R2-266	ONCEBAY SEGURA, CHARLIE OSCAR
CH033	A	METODOLOGIA DE LA INVESTIGACION CIENTIFICA	TEORIA	SA 7-8	R1-125A	MEJÍA SÁNCHEZ, MILUSSJA IVETTE
CH033	A	METODOLOGIA DE LA INVESTIGACION CIENTIFICA	PRACTICA	SA 8-10	R1-125A	MEJÍA SÁNCHEZ, MILUSSJA IVETTE
CH033	B	METODOLOGIA DE LA INVESTIGACION CIENTIFICA	TEORIA	SA 11-12	R1-125A	MEJÍA SÁNCHEZ, MILUSSJA IVETTE
CH033	B	METODOLOGIA DE LA INVESTIGACION CIENTIFICA	PRACTICA	SA 12-14	R1-125A	MEJÍA SÁNCHEZ, MILUSSJA IVETTE
CH061	A	BIOLOGIA	TEORIA	MA 8-10	R3-123C	PÉREZ TOMA, LUZ AGUEDA
CH061	A	BIOLOGIA	LABORATORIO	MA 10-12	LAB 33R1	PÉREZ TOMA, LUZ AGUEDA
CH061	B	BIOLOGIA	TEORIA	MA 8-10	R3-123C	PÉREZ TOMA, LUZ AGUEDA
CH061	B	BIOLOGIA	LABORATORIO	MA 14-16	LAB 33R1	PÉREZ TOMA, LUZ AGUEDA
CL002	A	INGLES I	TEORIA	LU 14-16	SALA 3	CCAHUANCAMA TRUJILLO, CYNTIA VICTORIA
CL002	A	INGLES I	PRACTICA	MI 12-14	SALA 1	CCAHUANCAMA TRUJILLO, CYNTIA VICTORIA
CL002	B	INGLES I	TEORIA	JU 14-16	SALA 3	CCAHUANCAMA TRUJILLO, CYNTIA VICTORIA
CL002	B	INGLES I	PRACTICA	LU 12-14	SALA 3	CCAHUANCAMA TRUJILLO, CYNTIA VICTORIA
CL002	C	INGLES I	TEORIA	MI 14-16	R1-460	CCAHUANCAMA TRUJILLO, CYNTIA VICTORIA
CL002	C	INGLES I	PRACTICA	JU 12-14	SALA 3	CCAHUANCAMA TRUJILLO, CYNTIA VICTORIA
CM0A2	A	ECUACIONES DIFERENCIALES ESTOCASTICAS	TEORIA	LU 18-20	R1-460	ECHEGARAY CASTILLO, WILLIAM CARLOS
CM0A2	A	ECUACIONES DIFERENCIALES ESTOCASTICAS	TEORIA	MA 18-20	R1-430	ECHEGARAY CASTILLO, WILLIAM CARLOS
CM0A2	A	ECUACIONES DIFERENCIALES ESTOCASTICAS	PRACTICA	JU 18-20	R1-430	MAYTA GUILLERMO, JORGE ENRIQUE
CM0D8	A	TEORIA ANALITICA DE NUMEROS	TEORIA	MA 14-16	R1-240A	VELÁSQUEZ CASTAÑÓN, OSWALDO JOSÉ
CM0D8	A	TEORIA ANALITICA DE NUMEROS	TEORIA	JU 14-16	R1-240B	VELÁSQUEZ CASTAÑÓN, OSWALDO JOSÉ
